"1701353959982,U03,3,23884,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",897.0,377.0,897.0,290.0"
"1701353961001,U03,3,24903,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",903.0,600.0,903.0,513.0"
1701353961171,U03,3,25073,mouse_wheel_start,100,,,,;;;
1701353961171,U03,3,25073,mouse_wheel_end,100,,,,;;;
1701353961490,U03,3,25392,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.7&x=4.303&y=44.482&m=m,,,,;;;
1701353961645,U03,3,25547,mouse_wheel_start,100,,,,;;;
1701353961645,U03,3,25547,mouse_wheel_end,100,,,,;;;
1701353961960,U03,3,25862,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.5&x=2.414&y=44.872&m=m,,,,;;;
"1701353962230,U03,3,26132,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",905.0,584.0,905.0,497.0"
"1701353962801,U03,3,26703,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",918.0,649.0,918.0,562.0"
1701353963011,U03,3,26913,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.5&x=0.609&y=52.351&m=m,,,,;;;
1701353964873,U03,3,28775,mouse_wheel_start,-100,,,,;;;
1701353964873,U03,3,28775,mouse_wheel_end,-100,,,,;;;
1701353965181,U03,3,29083,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.7&x=1.803&y=51.137&m=m,,,,;;;
"1701353965508,U03,3,29410,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",900.0,641.0,900.0,554.0"
"1701353965995,U03,3,29897,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",885.0,688.0,885.0,601.0"
1701353966261,U03,3,30163,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.7&x=3.868&y=55.943&m=m,,,,;;;
1701353974892,U03,3,38794,mouse_wheel_start,-100,,,,;;;
1701353974892,U03,3,38794,mouse_wheel_end,-100,,,,;;;
1701353975210,U03,3,39112,url_change,https://atlas.mapy.cz/?p=000101&id=povrch-zeme&n=m&z=3.9&x=5.806&y=54.030&m=m,,,,;;;
"1701353975611,U03,3,39513,pointerdown,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",911.0,700.0,911.0,613.0"
"1701353976029,U03,3,39931,pointerup,""html > body[cy-dot-mousedown-init=''][data-card='minimized'] > div#map[style='-webkit-tap-highlight-color: rgba(0, 0, 0, 0)";'] > canvas[width='1600'][height='953'][style='width: 1600px; height: 953px;"'] > "",910.0,734.0,910.0,647.0"
